Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
BTVA,1,2025-12-17,5:00 AM,TROT,7500.0,75.0,150.42857142857144,7,0,0,2,2,14.133,15.749,38.569,Wide Open,False,3.365,3.0,0.0,42.0,2,Fashion On A Star,5.0,2(5); 3(3); 4(2),"1,4,7,2,6",,,"1,4,7,2","1,4,7,2,6","1,4,7,2,6,3"
BTVA,10,2025-12-17,8:00 AM,PACE,5000.0,74.0,147.5,8,0,0,2,2,31.522,29.313,91.3,Wide Open,False,3.811,2.0,0.0,46.0,4,Whatca,4.0,4(4); 1(2); 5(2),"3,1,6,5,7",,,"3,1,6,5","3,1,6,5,7","3,1,6,5,7,4"
BTVA,11,2025-12-17,8:20 AM,TROT,7500.0,74.0,149.28571428571428,7,0,0,2,2,19.053,13.99,59.62,Wide Open,False,3.763,2.0,0.0,42.0,2,Credarena,3.0,2(3); 1(3); 3(3),"5,6,2,1,7",,,"5,6,2,1","5,6,2,1,7","5,6,2,1,7,3"
BTVA,12,2025-12-17,8:40 AM,PACE,6300.0,76.0,150.33333333333334,6,0,2,3,3,5.701,12.342,14.247,Wide Open,True,2.099,2.0,0.0,55.0,3,Lorraine Smoke,4.0,3(4); 1(4); 2(3),"5,3,4,6,2",,,"5,3,4,6","5,3,4,6,2","5,3,4,6,2,1"
BTVA,13,2025-12-17,9:00 AM,PACE,5000.0,70.0,140.55555555555554,9,0,1,3,3,30.674,30.829,92.122,Wide Open,True,2.989,3.0,0.0,67.0,4,Captain N Tenille,7.0,4(7); 3(5); 8(3),"1,7,6,5,3",,,"1,7,6,5","1,7,6,5,3","1,7,6,5,3,8"
BTVA,2,2025-12-17,5:20 AM,PACE,5000.0,78.0,153.5,8,0,0,2,2,27.992,13.914,91.146,Wide Open,False,3.965,2.0,0.0,46.0,1,Target Aquired,3.0,1(3); 5(3); 3(2),"4,1,3,5,7",,,"4,1,3,5","4,1,3,5,7","4,1,3,5,7,6"
BTVA,3,2025-12-17,5:40 AM,TROT,6300.0,73.0,147.42857142857142,7,0,0,1,2,24.881,29.141,59.4,Wide Open,False,3.983,2.0,0.0,37.0,2,Cheques In Limbo,5.0,2(5); 4(4); 5(3),"3,4,5,7,6",,,"3,4,5,7","3,4,5,7,6","3,4,5,7,6,2"
BTVA,4,2025-12-17,6:00 AM,PACE,6300.0,79.0,155.625,8,0,1,2,2,28.582,12.535,92.494,Wide Open,False,2.617,3.0,0.0,46.0,2,Long Train Runnin,6.0,2(6); 5(4); 4(4),"1,3,6,2,8",,,"1,3,6,2","1,3,6,2,8","1,3,6,2,8,5"
BTVA,5,2025-12-17,6:20 AM,TROT,5000.0,70.0,141.57142857142856,7,0,0,1,1,11.752,12.37,30.007,Chalk,False,3.811,2.0,0.0,25.0,2,Manny L,4.0,2(4); 4(2); 7(2),"5,1,4,7,2",,,"5,1,4,7","5,1,4,7,2","5,1,4,7,2,3"
BTVA,6,2025-12-17,6:40 AM,PACE,5000.0,74.0,142.0,8,0,1,2,2,30.49,31.094,92.388,Wide Open,False,2.723,2.0,0.0,46.0,3,Samosa Hanover,5.0,3(5); 4(4); 1(3),"2,1,5,3,8",,,"2,1,5,3","2,1,5,3,8","2,1,5,3,8,7"
BTVA,7,2025-12-17,7:00 AM,TROT,6300.0,71.0,143.85714285714283,7,0,0,3,3,12.376,7.96,37.776,Wide Open,True,3.365,2.0,0.0,59.0,1,Resolve Indeed,5.0,1(5); 5(3); 2(3),"3,1,5,4,7",,,"3,1,5,4","3,1,5,4,7","3,1,5,4,7,2"
