RaceDate,SourceFile,Track,Race,Horse,PP,FormString,LayoffFlag
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,4,Bad Moon Horizon,2,767-3?3X683-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,4,Lukes Proclamation,5,8-5578-33X8-76,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,4,Credit Is Magic,9,321127432-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,4,Mylittle Gingerman,99,2-3312-3-235-3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,5,Airline Pilot,2,452369989-8,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,5,Chief Saratoga,5,77726-3857-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,5,Hf Devan James,7,638542275-8,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,5,Chaseminkifyoudare,9,76765355-78,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,6,Hestonsfreechips,1,53462-2332-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,6,Stonebridge Fib,3,?512-6-575X47,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,6,Pan For Gold,5,1-7545-?X453-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,6,Chasing Midnight,7,4214-22-62-61,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,7,Outlaw Game On,1,826-3-3-22-11-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,7,Itll Be Fine,2,111-3222?X8X3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,7,Catch Me Oliver,4,51635667X1-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,7,Matteuse,5,41113X337-3-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,7,Kioti,6,46372-38-53-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,7,Rum N Custard,7,2-1-6471-228-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,8,Dragon Dancer,4,79-88?X9687-8,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,8,Snowdragon,99,5-46625-5-11-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,9,Midnight Mover,1,26312X122-4-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,9,Mercedes,2,33X2-21X211-2-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,9,The Dickens,3,88-5145-416-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,9,Shark Week,4,11111-1X574X1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,9,Caviart Scotland,5,464-44X746X2-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,9,Samba Beat,6,4-23X773X226X2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,9,Needabankloan,7,72-5144517-3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,10,Major Winker,1,?33214-2-12-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,10,Thoughts Of A Fool,3,7-6-7565X5?-7-8,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,10,Nicotime,4,2-757296X42X6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,10,Jus Ched,5,61372-8875-2,2UP
