Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
HAW,6,2025-11-22,8:50 AM,PACE,4200.0,62.0,110.0,6,0,1,1,2,32.049,22.877,92.403,Wide Open,False,2.708,3.0,0.0,33.0,4,Jewel'S Lady,4.0,4(4); 3(4); 5(2),"6,5,2,4,3",,,"6,5,2,4","6,5,2,4,3","6,5,2,4,3,1"
HAW,7,2025-11-22,9:10 AM,TROT,7700.0,76.0,154.42857142857144,7,0,0,2,3,25.469,38.122,59.571,Wide Open,True,3.811,1.0,0.0,54.0,3,Tankmetodennyland,4.0,3(4); 5(2); 4(2),"7,1,5,4,6",,,"7,1,5,4","7,1,5,4,6","7,1,5,4,6,3"
HOP,1,2025-11-22,5:30 AM,PACE,22000.0,91.0,180.4,5,0,0,3,3,9.451,23.509,23.509,Wide Open,True,3.575,3.0,0.0,51.0,3,Kobe'S Gigi,4.0,3(4); 4(2); 2(2),"5,4,2,1,3",,,"5,4,2,1","5,4,2,1,3",
HOP,10,2025-11-22,8:57 AM,TROT,16000.0,91.0,178.28571428571428,7,0,1,2,3,30.09,15.234,92.466,Wide Open,True,2.644,2.0,0.0,54.0,5,Jusmakinyalook,5.0,5(5); 4(4); 3(4),"7,1,6,5,2",,,"7,1,6,5","7,1,6,5,2","7,1,6,5,2,4"
HOP,11,2025-11-22,9:20 AM,PACE,16000.0,88.0,173.875,8,1,1,2,1,10.825,9.992,31.53,Chalk,False,1.594,-1.0,10.16,23.8,5,Premier Desirey,4.0,5(4); 4(3); 3(2),"8,1,4,7,3",,,"8,1,4,7","8,1,4,7,3","8,1,4,7,3,6"
HOP,12,2025-11-22,9:43 AM,TROT,12500.0,79.0,155.66666666666669,9,0,1,3,2,13.122,18.401,40.803,Wide Open,False,2.433,1.0,0.0,55.0,4,Gold Paige,4.0,4(4); 1(3); 7(2),"3,7,8,5,2",,,"3,7,8,5","3,7,8,5,2","3,7,8,5,2,6"
HOP,13,2025-11-22,10:06 AM,TROT,12500.0,83.0,166.57142857142856,7,0,0,2,2,25.4,9.815,60.018,Wide Open,False,3.365,2.0,0.0,42.0,3,Dashing Danny,4.0,3(4); 2(3); 5(3),"7,3,2,6,5",,,"7,3,2,6","7,3,2,6,5","7,3,2,6,5,1"
HOP,14,2025-11-22,10:29 AM,TROT,7000.0,84.0,160.8,10,0,0,1,1,29.839,8.449,90.944,Wide Open,False,4.167,3.0,0.0,37.0,4,Double A Goldrush,4.0,4(4); 3(4); 7(3),"5,9,7,4,8",,,"5,9,7,4","5,9,7,4,8","5,9,7,4,8,6"
HOP,2,2025-11-22,5:53 AM,TROT,10500.0,82.0,162.125,8,1,1,2,1,31.253,14.435,93.201,Wide Open,False,1.91,0.0,2.71,31.3,4,Timon As,6.0,4(6); 5(4); 6(3),"1,5,8,4,3",,,"1,5,8,4","1,5,8,4,3","1,5,8,4,3,6"
HOP,3,2025-11-22,6:16 AM,PACE,7500.0,79.0,154.125,8,0,0,1,1,17.555,10.667,58.511,Chalk,False,4.871,0.0,0.0,29.0,4,Whole Lotta Luck,5.0,4(5); 7(4); 5(4),"2,8,4,7,5",,,"2,8,4,7","2,8,4,7,5","2,8,4,7,5,3"
