Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
BTVA,1,2025-11-26,6:00 AM,TROT,7500.0,74.0,148.5,7,0,0,1,2,17.854,14.559,56.783,Wide Open,False,4.206,2.0,0.0,37.0,5,Vondell Kemp,5.0,5(5); 2(4); 6(2),"3,6,2,5,7",,,"3,6,2,5","3,6,2,5,7","3,6,2,5,7,1"
BTVA,10,2025-11-26,9:00 AM,PACE,6300.0,77.0,149.75,7,0,0,2,2,30.077,23.273,91.3,Wide Open,False,3.811,3.0,0.0,42.0,4,Lizzy Lite Hands,6.0,4(6); 3(4); 2(2),"1,5,4,3,2",,,"1,5,4,3","1,5,4,3,2","1,5,4,3,2,7"
BTVA,11,2025-11-26,9:20 AM,TROT,5000.0,71.0,138.77777777777777,8,0,0,0,1,18.048,5.537,57.388,Chalk,False,5.995,-1.0,0.0,24.0,4,Boost,6.0,4(6); 1(5); 2(4),"8,4,7,3,5",,,"8,4,7,3","8,4,7,3,5","8,4,7,3,5,2"
BTVA,12,2025-11-26,9:40 AM,PACE,6300.0,79.0,155.625,7,0,0,3,3,20.048,4.993,59.418,Wide Open,True,3.965,2.0,0.0,59.0,2,Mcbardle,4.0,2(4); 1(3); 3(2),"4,5,1,3,7",,,"4,5,1,3","4,5,1,3,7","4,5,1,3,7,6"
BTVA,13,2025-11-26,10:00 AM,PACE,5000.0,72.0,142.0,8,0,0,0,2,36.906,7.488,89.983,Wide Open,False,5.128,2.0,0.0,36.0,4,Bad Nella Monella,6.0,4(6); 3(3); 2(2),"5,4,1,3,2",,,"5,4,1,3","5,4,1,3,2","5,4,1,3,2,7"
BTVA,14,2025-11-26,10:20 AM,TROT,6300.0,72.0,142.42857142857144,7,0,0,0,1,19.266,4.881,57.384,Chalk,False,5.998,-1.0,0.0,20.0,3,Resolve Indeed,5.0,3(5); 1(3); 5(3),"6,1,4,5,3",,,"6,1,4,5","6,1,4,5,3","6,1,4,5,3,7"
BTVA,15,2025-11-26,10:40 AM,PACE,5000.0,70.0,141.3,9,0,0,1,2,34.514,9.482,90.43,Wide Open,False,4.681,2.0,0.0,45.0,5,Ny Jim,5.0,5(5); 3(4); 1(3),"4,3,1,6,5",,,"4,3,1,6","4,3,1,6,5","4,3,1,6,5,9"
BTVA,2,2025-11-26,6:20 AM,PACE,5000.0,74.0,146.66666666666669,8,0,1,2,2,12.877,5.706,38.242,Wide Open,False,2.898,3.0,0.0,46.0,2,Always Choose Chip,4.0,2(4); 3(4); 5(3),"1,2,5,6,3",,,"1,2,5,6","1,2,5,6,3","1,2,5,6,3,7"
BTVA,3,2025-11-26,6:40 AM,TROT,5000.0,70.0,139.55555555555554,8,0,0,0,0,19.679,17.709,56.717,Chalk,False,6.666,2.0,0.0,12.0,3,Heavens Fury,4.0,3(4); 1(3); 2(3),"4,1,2,6,5",,,"4,1,2,6","4,1,2,6,5","4,1,2,6,5,8"
BTVA,4,2025-11-26,7:00 AM,PACE,6300.0,75.0,150.22222222222223,8,0,0,1,1,28.48,7.626,90.991,Chalk,False,4.12,-1.0,0.0,29.0,5,Filet Mignon,5.0,5(5); 4(4); 3(4),"7,4,3,8,1",,,"7,4,3,8","7,4,3,8,1","7,4,3,8,1,5"
BTVA,5,2025-11-26,7:20 AM,PACE,10000.0,83.0,164.33333333333331,8,0,1,3,4,7.943,6.281,21.076,Balanced Competitive,True,2.913,2.0,0.0,75.0,5,Hello In There,5.0,5(5); 1(3); 6(2),"4,6,8,2,3",,,"4,6,8,2","4,6,8,2,3","4,6,8,2,3,5"
BTVA,6,2025-11-26,7:40 AM,TROT,6300.0,74.0,146.5,7,0,0,3,3,30.215,18.393,91.746,Wide Open,True,3.365,3.0,0.0,59.0,3,Echo De Meautis Fr,4.0,3(4); 2(4); 5(3),"1,3,4,5,7",,,"1,3,4,5","1,3,4,5,7","1,3,4,5,7,2"
BTVA,7,2025-11-26,8:00 AM,PACE,5000.0,75.0,150.11111111111111,8,1,1,1,0,27.54,14.588,93.517,Chalk,False,1.594,2.0,16.25,0.7,3,Fox Valley Crete,4.0,3(4); 4(4); 1(3),"5,1,2,6,3",,,"5,1,2,6","5,1,2,6,3","5,1,2,6,3,7"
BTVA,8,2025-11-26,8:20 AM,TROT,7500.0,77.0,153.0,7,0,0,1,1,30.39,22.19,90.734,Chalk,False,4.377,2.0,0.0,25.0,1,Whats The Point,3.0,1(3); 2(3); 5(3),"4,3,1,2,5",,,"4,3,1,2","4,3,1,2,5","4,3,1,2,5,7"
BTVA,9,2025-11-26,8:40 AM,PACE,7500.0,77.0,154.11111111111111,8,0,0,1,2,9.493,6.013,29.029,Wide Open,False,4.789,2.0,0.0,41.0,1,Cocco Puff Power,3.0,1(3); 3(2); 4(2),"2,3,5,6,1",,,"2,3,5,6","2,3,5,6,1","2,3,5,6,1,8"
