RaceDate,SourceFile,Track,Race,Horse,PP,FormString,LayoffFlag
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,1,Cantstopthelovin,1,4322675?X41,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,1,So It Goes,4,643237345X3,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,1,Shopping Spree,5,6?434444-8?,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,1,Timbo Slice,6,62224422-16,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,1,Rock Candy,8,6?-?X6334-3-1,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,1,Rock Candy,8,6?-?X6334-3-1,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,3,Plus One,1,8-8-?4155-7-7-3,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,3,Plus One,1,8-8-?4155-7-7-3,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,3,Shout It Out Loud,2,5215-26-664-4,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,3,Baywood Shadow,3,653241567X6,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,3,Bush Man N,6,7425311?7-7,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,3,Readyfortheladys,7,452636-546X6,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,3,Little Guy,8,2?1665?5-?X5,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,4,Odds On Brexit,5,512?5?127-2,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,4,Odds On Brexit,5,512?5?127-2,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,4,Undeniablebluechip,7,82253548-38,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,4,Norm At Work,8,5-6242131?X8,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,5,Lyons King,4,7116-85826-6,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,5,The Big Aristotle,7,41152-623-8X7,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,6,Archetto Hanover,4,356638?32-6,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,6,Bet On Joe,5,852448-57-52,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,6,Bet On Joe,5,852448-57-52,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,6,Gotti,7,752577346-5,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,7,Maching Time,4,5443?657-37,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,7,Cbf Bantam,5,56-4-6455-7-26,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,8,Ibite Ask Doug,3,4-43222324-6,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,8,Jk Lucky Charms,6,53464X62??X6,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,8,American Maverick,7,368323722-4,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,8,American Maverick,7,368323722-4,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,9,Bad Moonshine,1,3342X61815X8,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,9,Dealt A Winner,3,4221251-7-5X3,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,9,Fern Hill Flight,5,6131211-65-5,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,10,General Ward,3,4874245-?-?-1,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,CUMB,10,Keystone Maxim,5,?27266721-6,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,1,Big Sir,1,117127X742-1,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,1,Counter Offer,2,634-46863-71,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,1,Respect Our Flag,3,491062445-10-7,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,1,Reign Supreme,6,?-61X42756-3?,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,1,Typhoon Stride N,7,4427-54434-2,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,2,Ambush Seelster,3,9-347-2-8-79,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,2,Royel Sport,4,6-2425X6X59-7-7,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,2,Snowport,5,2473-4-7622-3,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,2,Threetimesthecharm,6,757556-9X93-5,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,3,Get Wings,3,4-14-6X1X71011-2,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,3,Honolulu Vacation,4,722767652-7,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,3,Yankee Clout,5,49-55-43376-5,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,3,Asiago Seelster,6,5144410618X6,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,4,Sometime Somewhere,1,102-1669-?86-4,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,4,Clints Vett,2,754?6167X8-5,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,4,Magical Aoine,4,66-6-4-474-63-3,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,4,Flash Cube,5,6X45-41556X9-4,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,4,Dan Speed,6,32423-4524-4,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,4,Southwind Infusion,8,7811-766X97-5,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,5,La Barbe,1,86-5-64X554-85,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,5,G A Speed Sammy,2,1-42-536-17X?6,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,5,Tango Creek,4,64245-3174-4,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,5,Maloucious,9,6?9X725-64,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,6,P L Ozzy,1,5-81112310-46,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,6,Howyouplay Thegame,2,61115277-7-1,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,6,Taylors Credit,3,?4537-7?X1-23,3UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,6,Granite Beach,4,224-43163-5-8,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,6,Bottle Rocket,5,2-574-5527X7-1,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,6,Cruise Hanover,7,3285212-2-55-6,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,7,Rowdy Patrick,2,57-4X2674-53-3,2UP
2025-11-23,HarnessSuite_2_6_FULL.csv,FLMD,7,Th Boughtnpaidfor,3,7X675-5,2UP
